,user,task,query,is_generation
88,34b1ef17e6625ba2350f6f1c169591a1,task1-1,print list,1
89,34b1ef17e6625ba2350f6f1c169591a1,task1-1,print list elements,0
90,34b1ef17e6625ba2350f6f1c169591a1,task2-2,read all files under a folder,1
91,34b1ef17e6625ba2350f6f1c169591a1,task2-2,open text file,1
92,34b1ef17e6625ba2350f6f1c169591a1,task2-2,open text file,1
93,34b1ef17e6625ba2350f6f1c169591a1,task2-2,copy file,0
94,34b1ef17e6625ba2350f6f1c169591a1,task2-2,remove heading white space,0
95,34b1ef17e6625ba2350f6f1c169591a1,task6-1,read csv file,1
96,34b1ef17e6625ba2350f6f1c169591a1,task6-1,pandas dropnan,0
97,34b1ef17e6625ba2350f6f1c169591a1,task6-1,pandas group by,0
98,34b1ef17e6625ba2350f6f1c169591a1,task6-1,pandas output csv,0
99,34b1ef17e6625ba2350f6f1c169591a1,task6-1,pandas to csv,1
100,34b1ef17e6625ba2350f6f1c169591a1,task6-1,average by group pandas,1
101,34b1ef17e6625ba2350f6f1c169591a1,task6-1,pandas round value,1
102,34b1ef17e6625ba2350f6f1c169591a1,task6-1,two deciaml place,0
103,34b1ef17e6625ba2350f6f1c169591a1,task6-1,pandas to csv decimal,0
104,34b1ef17e6625ba2350f6f1c169591a1,task6-1,sort pandas dataframe,1
105,34b1ef17e6625ba2350f6f1c169591a1,task6-1,group by range pandas ,0
106,34b1ef17e6625ba2350f6f1c169591a1,task6-1,rename column pandas,1
107,34b1ef17e6625ba2350f6f1c169591a1,task6-1,column to integer pandas,1
108,34b1ef17e6625ba2350f6f1c169591a1,task7-2,horizontal subplot,1
109,34b1ef17e6625ba2350f6f1c169591a1,task7-2,import matplotlib,0
110,34b1ef17e6625ba2350f6f1c169591a1,task7-2,bar graph side by side,0
111,34b1ef17e6625ba2350f6f1c169591a1,task7-2,pyplot subplots,1
112,34b1ef17e6625ba2350f6f1c169591a1,task7-2,select row pandas,0
113,138ca13c6ba8814e8e4aea9853d66b69,task1-1,random character between a and z,0
114,138ca13c6ba8814e8e4aea9853d66b69,task1-1,random integer between 1 and 20,1
115,138ca13c6ba8814e8e4aea9853d66b69,task1-1,print list as string,0
116,138ca13c6ba8814e8e4aea9853d66b69,task2-2,trim heading whitespace,1
117,138ca13c6ba8814e8e4aea9853d66b69,task2-2,normalize newlines to \n,1
118,138ca13c6ba8814e8e4aea9853d66b69,task2-2,list of filenames from a folder,1
119,2350ca5cc5bf54fca0b2499ae103d8b1,task2-2,check length of line,0
120,2350ca5cc5bf54fca0b2499ae103d8b1,task6-2,cross validation using logistic regression sklearn,0
121,844088c7077d499fa3533250ae504e7f,task1-1,generate random numbers,0
122,844088c7077d499fa3533250ae504e7f,task1-1,generate random letters,0
123,844088c7077d499fa3533250ae504e7f,task1-1,generate random letters,0
124,844088c7077d499fa3533250ae504e7f,task1-2,get current datetime,0
125,844088c7077d499fa3533250ae504e7f,task1-2,add a week to a datetime,0
126,844088c7077d499fa3533250ae504e7f,task1-2,convert date timezone,0
127,844088c7077d499fa3533250ae504e7f,task1-2,format datetime 24 hour,0
128,844088c7077d499fa3533250ae504e7f,task2-1,read csv pure python,0
129,844088c7077d499fa3533250ae504e7f,task2-1,python make dir,0
130,844088c7077d499fa3533250ae504e7f,task2-2,get all files in directory,1
131,844088c7077d499fa3533250ae504e7f,task2-2,get all files in directory,0
132,844088c7077d499fa3533250ae504e7f,task2-2,convert file encoding,0
133,844088c7077d499fa3533250ae504e7f,task2-2,check file encoding,0
134,844088c7077d499fa3533250ae504e7f,task2-2,copy file,0
135,3d15fb351f9dfabd41e2b2fb142dad71,task1-2,current time,1
136,3d15fb351f9dfabd41e2b2fb142dad71,task1-2,date and time ,0
137,3d15fb351f9dfabd41e2b2fb142dad71,task1-2,get curren time,1
138,a061d03ba2e23bf8f3861f78d7d62248,task1-1,get a random letter,1
139,a061d03ba2e23bf8f3861f78d7d62248,task1-1,random number,1
140,a061d03ba2e23bf8f3861f78d7d62248,task2-1,pandas read csv,1
141,a061d03ba2e23bf8f3861f78d7d62248,task2-1,"pandas read csv named ""data.csv""",1
142,a061d03ba2e23bf8f3861f78d7d62248,task2-1,save this dataframe to a csv,1
143,a061d03ba2e23bf8f3861f78d7d62248,task2-1,"make directory ""output"" if it doesn't exist",0
144,a061d03ba2e23bf8f3861f78d7d62248,task3-2,read a json file named `f`,1
145,a061d03ba2e23bf8f3861f78d7d62248,task3-2,write json in `ret` to file `outfile`,0
146,a061d03ba2e23bf8f3861f78d7d62248,task3-2,load json from a file,0
147,a061d03ba2e23bf8f3861f78d7d62248,task6-2,numpy load from csv,1
148,a061d03ba2e23bf8f3861f78d7d62248,task6-2,sklearn ignore warnings,0
149,eb8c0b297db7d9e210c3b804373339a2,task2-1,open file,1
150,eb8c0b297db7d9e210c3b804373339a2,task2-1,file to csv,0
151,eb8c0b297db7d9e210c3b804373339a2,task2-1,open file,1
152,eb8c0b297db7d9e210c3b804373339a2,task2-1,open file,1
153,eb8c0b297db7d9e210c3b804373339a2,task7-2,plot bar,1
154,eb8c0b297db7d9e210c3b804373339a2,task7-2,plot size,0
155,eb8c0b297db7d9e210c3b804373339a2,task7-2,plot title,0
156,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-1,import library random,0
157,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-1,loop on numbers from 0 to 100,0
158,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-1,generate random between 0 and 20,1
159,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-1,create empty dictionary,0
160,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1-1,for loop on range 100,0
161,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task3-2,check if file ends with .json,0
162,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task3-2,import json parsing library,0
163,9dd43727b9246d7f2220b94ff43380cf,task2-2,find character,1
164,9dd43727b9246d7f2220b94ff43380cf,task2-2,travverse list of files,1
165,9dd43727b9246d7f2220b94ff43380cf,task2-2,traverse a directory,0
166,9dd43727b9246d7f2220b94ff43380cf,task2-2,open file,1
167,9dd43727b9246d7f2220b94ff43380cf,task2-2,convert binary decoded string to ascii,0
168,9dd43727b9246d7f2220b94ff43380cf,task2-2,convert latin-1 to utf-8,0
169,9dd43727b9246d7f2220b94ff43380cf,task2-2,convert str to utf-8,1
170,9dd43727b9246d7f2220b94ff43380cf,task3-2,write into txt file,0
171,9dd43727b9246d7f2220b94ff43380cf,task3-2,load json file,1
172,9dd43727b9246d7f2220b94ff43380cf,task3-2,convert dict to string,0
173,9dd43727b9246d7f2220b94ff43380cf,task3-2,convert dict to string,0
174,9dd43727b9246d7f2220b94ff43380cf,task5-1,add json file to a list,1
175,9dd43727b9246d7f2220b94ff43380cf,task5-1,check email correctness,0
176,4d52cf690a039273baca11d5bf55f0a7,task1-1,squence of integers from 1 to 20 inclusive,0
177,4d52cf690a039273baca11d5bf55f0a7,task1-1,loop over a range of `count`,1
178,4d52cf690a039273baca11d5bf55f0a7,task1-1,randomly pick an item from `seq`,1
179,4d52cf690a039273baca11d5bf55f0a7,task1-1,call `pick_with_replacement`,1
180,4d52cf690a039273baca11d5bf55f0a7,task1-1,zip `hundred_characters` with `hundred_numbers`,1
181,4d52cf690a039273baca11d5bf55f0a7,task2-2,list all text files in the data directory,1
182,4d52cf690a039273baca11d5bf55f0a7,task2-2,list all text files in the data directory,0
183,4d52cf690a039273baca11d5bf55f0a7,task2-2,read a file and iterate over its contents,0
184,4d52cf690a039273baca11d5bf55f0a7,task3-1,walke all files in a directory,1
185,4d52cf690a039273baca11d5bf55f0a7,task3-1,list all filepaths in a directory,1
186,4d52cf690a039273baca11d5bf55f0a7,task3-1,walk all files in a directory,0
187,4d52cf690a039273baca11d5bf55f0a7,task3-1,"walk all nested files in the directory ""data""",0
188,4d52cf690a039273baca11d5bf55f0a7,task3-1,search all matches in a string,1
189,4d52cf690a039273baca11d5bf55f0a7,task3-1,search all matches in a string,1
190,4d52cf690a039273baca11d5bf55f0a7,task3-1,search all matches in a string,1
191,4d52cf690a039273baca11d5bf55f0a7,task3-1,regex digit python,0
192,4d52cf690a039273baca11d5bf55f0a7,task3-1,regex digit python,0
193,4d52cf690a039273baca11d5bf55f0a7,task3-1,extract year month day from string regex,0
194,4d52cf690a039273baca11d5bf55f0a7,task3-1,move file,1
195,4d52cf690a039273baca11d5bf55f0a7,task5-2,argparse subprogram,0
196,4d52cf690a039273baca11d5bf55f0a7,task5-2,request with params,0
197,638965bbb0d66a5b0eae27d1324bbf89,task1-2,assign current date and time to `now`,1
198,638965bbb0d66a5b0eae27d1324bbf89,task1-2,add days to time,1
199,638965bbb0d66a5b0eae27d1324bbf89,task1-2,convert `week_date` to GMT timezone and assign to `GMT_week_date`,1
200,638965bbb0d66a5b0eae27d1324bbf89,task1-2,display `week_date` in format mm-dd-yyyy hh:mm ,1
201,638965bbb0d66a5b0eae27d1324bbf89,task1-2,change datetime format of `week_date` to mm-dd-yyyy hh:mm,1
202,638965bbb0d66a5b0eae27d1324bbf89,task2-1,"read csv file ""data.csv""",1
203,638965bbb0d66a5b0eae27d1324bbf89,task2-1,number of columns of csv,1
204,638965bbb0d66a5b0eae27d1324bbf89,task2-1,"write csv `output_f` to file ""output/output.csv""",1
205,638965bbb0d66a5b0eae27d1324bbf89,task2-1,"if directory ""output"" exists",0
206,638965bbb0d66a5b0eae27d1324bbf89,task2-1,print csv without row numbers,0
207,638965bbb0d66a5b0eae27d1324bbf89,task3-2,check if file `output_file` exists,1
208,638965bbb0d66a5b0eae27d1324bbf89,task3-2,add entry to json file,1
209,638965bbb0d66a5b0eae27d1324bbf89,task3-2,load json file,1
210,638965bbb0d66a5b0eae27d1324bbf89,task5-2,"GET request to ""https://jsonplaceholder.typicode.com/posts"" with argument userId",1
211,638965bbb0d66a5b0eae27d1324bbf89,task5-2,print format,1
212,638965bbb0d66a5b0eae27d1324bbf89,task5-2,exit program,1
213,9337deccd10c36bab2411e51e60984bc,task1-2,get current time,1
214,9337deccd10c36bab2411e51e60984bc,task2-1,load csv data,1
215,9337deccd10c36bab2411e51e60984bc,task3-1,copy a file ,0
216,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,how to split dataset  in scikit learn,0
217,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,how to split dataset in scikit learn,0
218,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,how to determine cross validation mean in scikit learn,0
219,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,cross validation mean accuracy,0
220,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,cross validation in scikit learn,0
221,2e3e8fa9d9f7b9fed260130d754b6308,task6-2,cross validation in scikit learn,0
222,cbfad61871126c1cc4c85d8bdb7fdddf,task1-1,How to generate random letter,1
223,cbfad61871126c1cc4c85d8bdb7fdddf,task1-1,How to generate random int in range between 1 and 20,1
224,cbfad61871126c1cc4c85d8bdb7fdddf,task2-1,make directory,0
225,cbfad61871126c1cc4c85d8bdb7fdddf,task2-1,get current path,1
226,cbfad61871126c1cc4c85d8bdb7fdddf,task3-1,regexp date,0
227,cbfad61871126c1cc4c85d8bdb7fdddf,task3-1,copy files creating directory,0
228,cbfad61871126c1cc4c85d8bdb7fdddf,task4-2,create directory,0
229,3290155d5f39c2cece41ce216eecac62,task1-2,date gmt,0
230,3290155d5f39c2cece41ce216eecac62,task1-2,date now,0
231,3290155d5f39c2cece41ce216eecac62,task2-1,cvs files,0
232,3290155d5f39c2cece41ce216eecac62,task2-1,cvs,0
233,3290155d5f39c2cece41ce216eecac62,task2-1,read cvs,0
234,3290155d5f39c2cece41ce216eecac62,task2-1,csv write,0
235,3290155d5f39c2cece41ce216eecac62,task2-1,csv writer,0
236,3290155d5f39c2cece41ce216eecac62,task2-1,if dir exist,0
237,3290155d5f39c2cece41ce216eecac62,task6-1,loop files recursive,0
238,3290155d5f39c2cece41ce216eecac62,task6-1,csv,0
239,3290155d5f39c2cece41ce216eecac62,task6-1,csv write,0
240,baff2a3b41189071a80cebf6fdc239e3,task1-2,get time and date,0
241,baff2a3b41189071a80cebf6fdc239e3,task1-2,get date and time one week from now,1
242,baff2a3b41189071a80cebf6fdc239e3,task1-2,get time and date one week from now ,1
243,baff2a3b41189071a80cebf6fdc239e3,task2-2,trim the heading and trailing whitespaces and blank lines for all text files ,1
244,eb54774fe018001b25b8c31133f13bc9,task1-1,generate random number,1
245,eb54774fe018001b25b8c31133f13bc9,task1-1,sort a list,1
246,eb54774fe018001b25b8c31133f13bc9,task1-1,print without newline,0
247,eb54774fe018001b25b8c31133f13bc9,task2-2,change directory,0
248,eb54774fe018001b25b8c31133f13bc9,task2-2,"change directory to ""data""",1
249,eb54774fe018001b25b8c31133f13bc9,task2-2,list files in directory,0
250,eb54774fe018001b25b8c31133f13bc9,task2-2,read ISO-8859-15 ,0
251,eb54774fe018001b25b8c31133f13bc9,task2-2,copy a file,0
252,eb54774fe018001b25b8c31133f13bc9,task2-2,check if directory exists,1
253,eb54774fe018001b25b8c31133f13bc9,task6-2,load wine dataset,0
254,eb54774fe018001b25b8c31133f13bc9,task6-2,sklearn 5 fold cross validation,0
255,eb54774fe018001b25b8c31133f13bc9,task7-2,pandas dataframe from csv,0
256,eb54774fe018001b25b8c31133f13bc9,task7-2,pandas dataframe groupby column,1
257,eb54774fe018001b25b8c31133f13bc9,task7-2,matplotlib multiple histograms,0
258,eb54774fe018001b25b8c31133f13bc9,task7-2,matplotlib grouped bar chart,0
259,9a6cfe2c7ca82dcb62772e83ed7327db,task1-1,generate a rondom lower case character,0
260,9a6cfe2c7ca82dcb62772e83ed7327db,task1-1,how to append value in dict ,0
261,9a6cfe2c7ca82dcb62772e83ed7327db,task1-1,how to check if a  key is in a dictionay ,0
262,9a6cfe2c7ca82dcb62772e83ed7327db,task2-1,how to delete a column in a dataframe python,0
263,9a6cfe2c7ca82dcb62772e83ed7327db,task2-1,how to delete columns in dataframe,0
264,9a6cfe2c7ca82dcb62772e83ed7327db,task2-1,how to save a dataframe in csv file,0
265,9a6cfe2c7ca82dcb62772e83ed7327db,task7-1,how to draw scatter plot for data in csv file,1
266,9a6cfe2c7ca82dcb62772e83ed7327db,task7-1,how to draw scatter plot for data in csv file,0
267,9a6cfe2c7ca82dcb62772e83ed7327db,task7-1,how to choose plot size in inches ,0
268,9a6cfe2c7ca82dcb62772e83ed7327db,task7-1,how to create ascatter plot using matplotlib,0
269,9a6cfe2c7ca82dcb62772e83ed7327db,task7-1,how to choose plot title in matplotlib,0
270,e88d1e36c4db7410802b3fda6db81d38,task1-1,generate list of random charachters,0
271,e88d1e36c4db7410802b3fda6db81d38,task1-1,generate random charachter,0
272,e88d1e36c4db7410802b3fda6db81d38,task1-1,generate random int,1
273,e88d1e36c4db7410802b3fda6db81d38,task1-1,dictionary of characters and int,1
274,e88d1e36c4db7410802b3fda6db81d38,task1-1,generate dict,0
275,e88d1e36c4db7410802b3fda6db81d38,task2-1,open csv,1
276,e88d1e36c4db7410802b3fda6db81d38,task2-1,delete row in csv,1
277,e88d1e36c4db7410802b3fda6db81d38,task2-1,delete row in csv,0
278,e88d1e36c4db7410802b3fda6db81d38,task3-1,copy files from folder,0
279,e88d1e36c4db7410802b3fda6db81d38,task3-1,rename files,0
280,e88d1e36c4db7410802b3fda6db81d38,task3-1,rename files,1
281,e88d1e36c4db7410802b3fda6db81d38,task3-1,recursive copy files and folders,0
282,e88d1e36c4db7410802b3fda6db81d38,task4-2,http reques get html,1
283,e88d1e36c4db7410802b3fda6db81d38,task4-2,save table beautifulsoup,1
284,e88d1e36c4db7410802b3fda6db81d38,task4-2,regex [],1
285,e88d1e36c4db7410802b3fda6db81d38,task4-2,save dict to csv,0
286,e88d1e36c4db7410802b3fda6db81d38,task4-2,download an image request,0
287,e78bbc00ea23e3688e035426717b63ac,task1-1,zip 2 lists,0
288,e78bbc00ea23e3688e035426717b63ac,task1-1,rearrange dictionary keys into alphabetic order,1
289,e78bbc00ea23e3688e035426717b63ac,task1-1,merge 2 dictionaries ,0
290,e78bbc00ea23e3688e035426717b63ac,task1-1,sort a list x into ascending order,1
291,e78bbc00ea23e3688e035426717b63ac,task1-1,sort a list into ascending order,1
292,e78bbc00ea23e3688e035426717b63ac,task1-1,sort list 'values' into ascending order,1
293,e78bbc00ea23e3688e035426717b63ac,task4-1,how to get page urls beautifulsoup,0
294,e78bbc00ea23e3688e035426717b63ac,task6-1,round a variable to 2dp,1
295,e78bbc00ea23e3688e035426717b63ac,task6-1,how to remove an item from a list using the index,0
296,e78bbc00ea23e3688e035426717b63ac,task6-1,how to combine 2 lists into a dictionary,1
297,78fdf1eb2c65019c0305daef9c7e713d,task2-2,convert txt fileencoding,0
298,78fdf1eb2c65019c0305daef9c7e713d,task3-1,copy file and rename,0
299,78fdf1eb2c65019c0305daef9c7e713d,task4-2,parse url into images,0
300,10fb8132405b6c443addb06bc941f9e3,task1-2,get date after week,0
301,10fb8132405b6c443addb06bc941f9e3,task5-2,client connection to url,1
302,10fb8132405b6c443addb06bc941f9e3,task5-2,client connction to http url,0
303,7ff9938c47bd8fb571d43b13872e6182,task1-1,"generate random nu,ber",0
304,7ff9938c47bd8fb571d43b13872e6182,task1-1,generate char lower case,0
305,7ff9938c47bd8fb571d43b13872e6182,task1-1,generate lowercase char,1
306,7ff9938c47bd8fb571d43b13872e6182,task1-1,generate random numbers,1
307,7ff9938c47bd8fb571d43b13872e6182,task1-1,generat integers 1-20,0
308,7ff9938c47bd8fb571d43b13872e6182,task1-1,list to dict,1
309,7ff9938c47bd8fb571d43b13872e6182,task1-1,list to dict,1
310,7ff9938c47bd8fb571d43b13872e6182,task6-1,delete coloumn pd,0
311,7ff9938c47bd8fb571d43b13872e6182,task7-1,scatter,1
312,7ff9938c47bd8fb571d43b13872e6182,task7-1,save plot as image,1
313,2287fbb738654ee8436be1a74b1efab7,task1-2,print date and time in GMT in 24hr format,1
314,2287fbb738654ee8436be1a74b1efab7,task1-2,print date and time in GMT in 24hr format,0
315,2287fbb738654ee8436be1a74b1efab7,task1-2,print date and time in GMT in 24hr format,0
316,2287fbb738654ee8436be1a74b1efab7,task1-2,print date and time in GMT in 24hr format,0
317,2287fbb738654ee8436be1a74b1efab7,task1-2,print date and time in GMT in 24hr format,1
318,2287fbb738654ee8436be1a74b1efab7,task2-1,delete first and last column in csv file,0
319,2287fbb738654ee8436be1a74b1efab7,task2-1,remove columns from csv file and save it to another csv file,0
320,2287fbb738654ee8436be1a74b1efab7,task2-1,remove first column from csv file,1
321,2287fbb738654ee8436be1a74b1efab7,task2-1,remove first column from csv file,0
322,2287fbb738654ee8436be1a74b1efab7,task2-1,remove first column from csv file,0
323,2287fbb738654ee8436be1a74b1efab7,task3-1,copy directory tree from source to destination,0
324,2287fbb738654ee8436be1a74b1efab7,task3-1,move files from directory to directory,0
325,2287fbb738654ee8436be1a74b1efab7,task3-1,copy directory to another directory,1
326,2287fbb738654ee8436be1a74b1efab7,task3-1,copy directory to directory,0
327,2287fbb738654ee8436be1a74b1efab7,task3-1,copy directory to directory,0
328,2287fbb738654ee8436be1a74b1efab7,task3-1,rename file with regex,1
329,15764ad439feafda6f35578b7f6253df,task1-2,format time,1
330,15764ad439feafda6f35578b7f6253df,task1-2,import time,1
331,15764ad439feafda6f35578b7f6253df,task1-2,mm-dd-yyyy,0
332,15764ad439feafda6f35578b7f6253df,task2-2,read file,1
333,15764ad439feafda6f35578b7f6253df,task2-2,read file,0
334,15764ad439feafda6f35578b7f6253df,task2-2,iterating files in a folder,1
335,15764ad439feafda6f35578b7f6253df,task4-2,extract imafe from html,0
336,15764ad439feafda6f35578b7f6253df,task6-1,pandas calculate mean,1
337,15764ad439feafda6f35578b7f6253df,task6-1,pandas read from csv,1
338,15764ad439feafda6f35578b7f6253df,task6-1,format output to 2 decimal,1
339,15764ad439feafda6f35578b7f6253df,task6-1,pandas write to csv file,0
340,15764ad439feafda6f35578b7f6253df,task6-1,pandas write to file decimal,0
